subject_id,collected_at,trial_index,start_x,start_y,end_x,end_y,zone_x,zone_y,duration_ms,success
test-verif,2026-06-26T12:05:50.468Z,10,60,396,659.203125,183.08203125,642.5235440021827,124.07606427199742,584.7000000001863,True
test-verif,2026-06-27T05:08:35.954Z,1,60,396,671.625,277.86328125,639.9986989851873,229.04331284774048,601.1999999992549,True
test-verif,2026-06-27T05:08:35.954Z,2,60,396,690.65625,660.61328125,657.5416469404358,644.1802211563507,700.1000000014901,True
test-verif,2026-06-27T05:08:35.954Z,3,60,396,678.390625,714.37109375,655.5081752415164,657.2253673576889,966.6000000014901,True
test-verif,2026-06-27T05:08:35.954Z,4,60,396,689.3671875,485.98828125,654.8680768952506,441.54126541556946,700.8000000007451,True
test-verif,2026-06-27T05:08:35.954Z,5,60,396,672.9921875,488.3984375,644.288751281214,455.3872582747778,700.8000000007451,True
test-verif,2026-06-27T05:08:35.954Z,6,60,396,684.203125,703.71484375,644.0016917446953,663.9202328811751,700.0,True
test-verif,2026-06-27T05:08:35.954Z,7,60,396,699.21484375,350.08984375,655.3838992023514,297.5869271210193,668.0,True
test-verif,2026-06-27T05:08:35.954Z,8,60,396,706.703125,452.9765625,639.201685028954,425.3801198906591,633.6999999992549,True
test-verif,2026-06-27T05:08:35.954Z,9,60,396,674.16015625,206.7109375,657.8500956280636,150.75468863780725,666.9000000022352,True
test-verif,2026-06-27T05:08:35.954Z,10,60,396,698.515625,210.3125,652.3984423544032,162.55215049168078,667.5,True
test-verif,2026-06-27T09:46:34.188Z,1,60,332.5,670.0234375,314.81640625,642.4777776791517,274.9363791150718,783.2000000029802,True
test-verif,2026-06-27T09:46:34.188Z,2,60,332.5,694.890625,144.0625,654.7621388887487,96.17283564087361,882.2999999970198,True
test-verif,2026-06-27T09:46:34.188Z,3,60,332.5,669.21484375,510.9375,641.362772897778,462.4614882844984,1065.1999999955297,True
test-verif,2026-06-27T09:46:34.188Z,4,60,332.5,678.94140625,166.6171875,650.1555467443046,127.84069425282564,850.8000000044703,True
test-verif,2026-06-27T09:46:34.188Z,5,60,332.5,664.92578125,441.16796875,657.721494803969,406.31619133575117,918.0999999940395,True
test-verif,2026-06-27T09:46:34.188Z,6,60,332.5,673.8984375,432.12890625,638.2765757467503,379.4744444436409,999.3999999985099,True
test-verif,2026-06-27T09:46:34.188Z,7,60,332.5,666.0859375,419.84375,638.9628165348907,355.6619385108058,815.5,True
test-verif,2026-06-27T09:46:34.188Z,8,60,332.5,652.56640625,327.12109375,648.1226354217606,284.8144194821655,915.3999999985099,True
test-verif,2026-06-27T09:46:34.188Z,9,60,332.5,677.81640625,232.046875,647.4357217398876,184.92075543015227,767.2999999970198,True
test-verif,2026-06-27T09:46:34.188Z,10,60,332.5,711.65234375,321.61328125,654.4703654751456,281.1968211270205,868.7999999970198,True
test-verif,2026-06-28T15:55:12.302Z,1,60,287.5,687.0,412.0,653.1067066377699,371.2418397915685,1148,True
test-verif,2026-06-28T15:55:12.302Z,2,60,287.5,678.5,429.0,638.6260068961266,381.9552185490175,1216,True
test-verif,2026-06-28T15:55:12.302Z,3,60,287.5,704.0,417.0,654.520305373016,365.82234638653983,1113,True
test-verif,2026-06-28T15:55:12.302Z,4,60,287.5,693.0,376.5,652.5639057342116,334.57904071768786,1141,True
test-verif,2026-06-28T15:55:12.302Z,5,60,287.5,691.0,220.5,653.556979889623,178.1930650694544,1040,True
test-verif,2026-06-28T15:55:12.302Z,6,60,287.5,700.0,113.5,645.4432268965113,74.45931888866701,1013,True
test-verif,2026-06-28T15:55:12.302Z,7,60,287.5,682.0,414.0,638.8316075192781,372.6915822103037,1222,True
test-verif,2026-06-28T15:55:12.302Z,8,60,287.5,683.0,174.0,645.0159452054518,123.55484160304567,608,True
test-verif,2026-06-28T15:55:12.302Z,9,60,287.5,700.0,183.5,646.3788077779589,143.28960076443343,708,True
test-verif,2026-06-28T15:55:12.302Z,10,60,287.5,681.0,174.5,649.3760699740532,139.5909856383759,926,True
sp1,2026-06-28T16:02:26.056Z,1,60,331,673.0,485.0,638.3664117325126,452.90518452220664,989,True
sp1,2026-06-28T16:02:26.056Z,2,60,331,689.0,178.0,638.3308748747013,157.48453117426868,794,True
sp1,2026-06-28T16:02:26.056Z,3,60,331,678.0,353.0,642.1125295556097,307.78412343809634,1020,True
sp1,2026-06-28T16:02:26.056Z,4,60,331,677.0,502.5,646.2504920251818,464.4814108119774,1048,True
sp1,2026-06-28T16:02:26.056Z,5,60,331,690.5,490.5,647.5930021239304,442.6190289804329,688,True
sp1,2026-06-28T16:02:26.056Z,6,60,331,668.5,145.5,638.8371091242859,90.68694231416954,992,True
sp1,2026-06-28T16:02:26.056Z,7,60,331,687.0,134.5,657.8823237991336,68.98721024122058,809,True
sp1,2026-06-28T16:02:26.056Z,8,60,331,677.0,538.5,638.0951976733716,495.8952503391378,1155,True
sp1,2026-06-28T16:02:26.056Z,9,60,331,699.5,429.0,641.017692054446,369.2429752468339,952,True
