subject_id,collected_at,trial_index,target_x,target_y,click_x,click_y,appeared_at,clicked_at,travel_time_ms,error_px
amehta,2026-06-26T10:03:59.436Z,16,719.1348280079119,235.5553795495786,725,245,210288.0,211129.60000000894,841.6000000089407,11.117603066726799
amehta,2026-06-26T10:03:59.436Z,17,572.5228474954815,206.94330042056362,580,210,211220.40000000596,212130.5,910.0999999940395,8.077822843734157
amehta,2026-06-26T10:03:59.436Z,18,494.77544944969225,442.33650729396555,496,454,212221.40000000596,213313.10000000894,1091.7000000029802,11.727599334645507
amehta,2026-06-26T10:03:59.436Z,19,670.3239960369482,376.9441232090253,670,379,213404.60000000894,214363.10000000894,958.5,2.0812503000904514
amehta,2026-06-26T10:03:59.436Z,20,489.6335493595054,592.2499072473377,495,604,214454.5,215346.10000000894,891.6000000089407,12.91756448302205
amehta,2026-06-26T10:03:59.436Z,21,686.5930396920745,184.58015045043015,678,193,215437.10000000894,216262.80000001192,825.7000000029802,12.030552671717105
amehta,2026-06-26T10:03:59.436Z,22,539.041864985655,478.48304575816667,543,478,216353.40000000596,217029.70000000298,676.2999999970198,3.987501222102197
amehta,2026-06-26T10:03:59.436Z,23,688.9759115800092,725.5055543180467,685,733,217120.80000001192,218229.70000000298,1108.8999999910593,8.48378388290268
amehta,2026-06-26T10:03:59.436Z,24,705.7080071472666,810.6700026987538,711,816,218321.20000000298,219412.60000000894,1091.4000000059605,7.510929342276701
amehta,2026-06-26T10:03:59.436Z,25,305.66447195310957,578.4588417472235,309,584,219503.10000000894,220362.5,859.3999999910593,6.467625695253727
test-verif,2026-06-26T11:37:02.725Z,1,125.9733463986874,739.5412003146679,135,752,24770.399999999907,26030.899999999907,1260.5,15.385128040979096
test-verif,2026-06-26T11:37:02.725Z,2,359.70861663826093,733.9880709669669,374,750,26122.59999999986,27081.09999999986,958.5,21.462187906899896
test-verif,2026-06-26T11:37:02.725Z,3,199.25153793750698,131.489020941366,198,144,27172.399999999907,28030.09999999986,857.6999999999534,12.573422136180662
test-verif,2026-06-26T11:37:02.725Z,4,478.19218162528796,162.38859678671932,485,176,28121.09999999986,29163.399999999907,1042.3000000000466,15.21895819225398
test-verif,2026-06-26T11:37:02.725Z,5,315.3303281977759,612.1609581146429,319,605,29255.199999999953,30030.899999999907,775.6999999999534,8.046478251738987
