subject_id,collected_at,segment,key_id,key_category,press_ts,release_ts,dwell_ms
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,29623.30000001192,29767.10000000894,143.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,30150.20000000298,30190.70000000298,40.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,b,alphanum,30502.10000000894,30577.20000000298,75.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,x,alphanum,30676.90000000596,30801.20000000298,124.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,30818.30000001192,31001.80000001192,183.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,m,alphanum,30979.5,31118.10000000894,138.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,31149.0,,0.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,31322.60000000894,,0.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,32832.80000001192,32923.0,90.19999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,x,alphanum,32931.70000000298,33016.20000000298,84.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,33080.10000000894,33254.80000001192,174.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,33206.80000001192,33291.30000001192,84.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,33317.70000000298,33365.80000001192,48.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,33424.10000000894,33518.0,93.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,w,alphanum,33981.70000000298,34095.70000000298,114.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,34098.80000001192,34181.80000001192,83.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,z,alphanum,34474.80000001192,34591.5,116.69999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,34634.40000000596,34846.80000001192,212.4000000059605
amehta_merged,2026-06-26T10:03:59.436Z,pangram,r,alphanum,34858.90000000596,34950.80000001192,91.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,d,alphanum,35132.60000000894,35284.5,151.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,s,alphanum,35257.70000000298,35407.10000000894,149.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,35410.20000000298,35513.10000000894,102.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,j,alphanum,35632.5,35732.30000001192,99.80000001192091
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,36096.80000001192,36140.0,43.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,m,alphanum,36303.20000000298,36389.80000001192,86.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,p,alphanum,36443.0,36561.5,118.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,36573.40000000596,36698.60000000894,125.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,q,alphanum,36761.90000000596,36893.0,131.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,36882.80000001192,37006.5,123.69999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,36956.90000000596,37061.80000001192,104.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,c,alphanum,37023.90000000596,37142.5,118.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,k,alphanum,37210.0,37274.90000000596,64.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,l,alphanum,37324.70000000298,37416.60000000894,91.90000000596046
